"","University","Department","Overall Pay","LW Ratio","Academic Year","Program Year","12 M Gross Pay","9 M Gross Pay","3 M Gross Pay","Fees","Comments","dept"
"1","University of Oregon (UO)","Psychology",19000,0.91,"2022-2023","1st",NA,"$19,000","$500","$500",NA,"psychology"
"2","Pennsylvania State University (Penn State)","Civil & Environmental Engineering",30000,1.34,"2022-2023","5th",NA,"$30,000",NA,NA,NA,"environment"
"3","Northwestern University (NU)","MSTP",38000,1.57,"2022-2023","3rd","$38,500",NA,NA,"$500",NA,"medical science"
"4","Stanford University (SU)","History",52375,1.82,"2022-2023","1st","$52,375",NA,NA,NA,NA,"history"
"5","University of Michigan - Ann Arbor (UM)","Electrical Engineering",37000,1.6,"2022-2023","3rd","$37,000",NA,NA,NA,NA,"electrical engineering"
"6","University of Massachusetts - Amherst (UMass)","Molecular and Cellular Biology",33081,1.44,"2022-2023","2nd","$33,081",NA,NA,NA,"from 9/4/22 to 9/2/23","biology"
"7","Pennsylvania State University (Penn State)","Math",24000,1.07,"2022-2023","5th",NA,"$24,000",NA,NA,NA,"mathematics"
"8","University of Cincinnati (UC)","Classics",26000,1.35,"2022-2023","1st",NA,"$22,500","$3,500",NA,NA,"classical studies"
"9","South Dakota State University (SDSU)","Mechanical Engineering",15300,0.81,"2022-2023","1st",NA,"$15,300",NA,NA,NA,"mechanical engineering"
"10","North Dakota State University (NDSU)","Plant Science",25000,1.3,"2022-2023","2nd","$25,000",NA,NA,NA,"Masters student get equal or almost same stipend as phd students. So many hidden costs, you cant live by","algruiculture"
"11","Stony Brook University - SUNY","Computer Science",32164,1.15,"2018-2019","1st","$34,360",NA,NA,"$2,196","$19360 10-month TA
$10000 Summer RA
$5000 one-time fellowship (like a signon bonus)","computer science"
"12","Michigan State University (MSU)","Agricultural, Food, and Resource Economics",27300,1.33,"2022-2023","2nd","$27,300",NA,NA,NA,NA,"nutrition"
"13","Texas Christian University (TCU)","Psychology",23000,1.05,"2022-2023","1st","$23,000",NA,NA,NA,NA,"psychology"
"14","University of Kansas (KU)","Philosophy",18650,0.91,"2022-2023","2nd",NA,"$18,650",NA,NA,"Official fees: $275 (after a 75% reduction) for health insurance (waivable if you are insured already) and $250 for the required fee. If you are an international student, there is a fee for International student service ($170).  

Summer funding (in terms of teaching or fellowship) is available for students who have passed the qualifying paper examination (after the second year). Some fellowships from the Hall Center that exempt students from teaching are also available (for any year).  The TA's maximum working hours are 20 hours per week, although most TAs have never worked that long.","philosophy"
"15","Duke University (DU)","Biology",32000,1.44,"2022-2023","5th","$32,000",NA,NA,NA,NA,"biology"
"16","Purdue University - West Lafayette","Chemical Engineering",31600,1.49,"2022-2023","1st","$33,500",NA,NA,"$1,900",NA,"chemistry"
"17","Western Michigan University (WMU)","Medieval Studies",14000,0.69,"2022-2023","1st",NA,"$14,500",NA,"$500","Union contract with 5 days sick leave, no health insurance,  9 credit hours per semester of tuition with the option to defer 3 credits to the summer, you pay your student fees, there is a small ""lump sum"" on the second paycheck of the academic year that is meant to cover fees, if you have a ""full appointment"" (which are these terms) you'll TA for two courses.","medieval studies"
"18","Rice University","organizational behavior",40000,1.83,"2022-2023",NA,"$40,000",NA,NA,NA,NA,"organizational behavior"
